"fechas","ISO","poblacion","porc_pobl_total","poblacion_mayor_16a","porc_pobl_total_mayor_16a","dosis_entrega_pfizer","dosis_entrega_astra","dosis_entrega_moderna","dosis_entrega_janssen","dosis_entrega","dosis_entrega_100hab","porc_entregadas_sobre_total","dosis_diarias_entrega_pfizer","dosis_diarias_entrega_astra","dosis_diarias_entrega_moderna","dosis_diarias_entrega","dosis_7D_entrega_pfizer","dosis_7D_entrega_astra","dosis_7D_entrega_moderna","dosis_7D_entrega","dosis_7D_entrega_100hab","dosis_admin","dosis_primera","dosis_pauta_completa","dosis_admin_100hab","porc_admin_sobre_ccaa","porc_admin_vs_total","dosis_diarias_admin","dosis_diarias_admin_100hab","crec_diario_dosis_admin","dosis_diarias_primera","dosis_diarias_segunda","dosis_7D_admin","dosis_7D_admin_100hab","crec_7D_dosis_admin","porc_admin_vs_total_7D","personas_vacunadas","personas_pauta_completa","personas_1dosis","porc_personas_vacunadas","porc_personas_pauta_completa","porc_personas_vacunadas_16a","porc_personas_pauta_completa_16a","personas_vacunadas_diarias","personas_pauta_completa_diarias","porc_personas_vacunadas_diarias","porc_personas_pauta_completa_diarias","personas_vacunadas_7D","personas_pauta_completa_7D","porc_personas_vacunadas_7D","porc_personas_pauta_completa_7D","porc_personas_vacunadas_16a_7D","porc_personas_pauta_completa_16a_7D","crec_diario_personas_vacunadas","crec_7D_personas_vacunadas","crec_diario_personas_pauta_completa","crec_7D_personas_pauta_completa","desv_porc_admin_vs_total","desv_dosis_entrega","desv_porc_personas_vacunadas","desv_porc_personas_pauta_completa","fecha_30vacunados_ritmo7D","fecha_50vacunados_ritmo7D","fecha_70vacunados_ritmo7D","fecha_30inmunizados_ritmo7D","fecha_50inmunizados_ritmo7D","fecha_70inmunizados_ritmo7D","fecha_30inmunizados_16a_ritmo7D","fecha_50inmunizados_16a_ritmo7D","fecha_70inmunizados_16a_ritmo7D"
2021-01-05,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,743925,0,0,743925,743925,0,0,743925,1.568,139339,139339,0,0.294,18.73,100,139339,0.294,0,139339,0,139339,0.294,0,100,139339,0,139339,0.294,0,0.347,0,139339,0,0.294,0,139339,0,0.294,0,0.347,0,0,0,0,0,0,0,0,NA,2022-12-13,2024-04-02,2025-07-22,NA,NA,NA,NA,NA,NA
2021-01-06,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,173331,173331,0,0.365,23.3,100,33992,0.072,24.395,33992,0,173331,0.365,24.395,100,173331,0,173331,0.365,0,0.432,0,33992,0,0.072,0,173331,0,0.365,0,0.432,0,24.395,24.395,NA,NA,0,0,0,NA,2022-07-28,2023-08-15,2024-09-02,NA,NA,NA,NA,NA,NA
2021-01-07,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,207323,207323,0,0.437,27.869,100,33992,0.072,19.611,33992,0,207323,0.437,19.611,100,207323,0,207323,0.437,0,0.517,0,33992,0,0.072,0,207323,0,0.437,0,0.517,0,19.611,19.611,NA,NA,0,0,0,NA,2022-04-25,2023-03-11,2024-01-26,NA,NA,NA,NA,NA,NA
2021-01-08,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,277976,277976,0,0.586,37.366,100,70653,0.149,34.079,70653,0,277976,0.586,34.079,100,277976,0,277976,0.586,0,0.693,0,70653,0,0.149,0,277976,0,0.586,0,0.693,0,34.079,34.079,NA,NA,0,0,0,NA,2021-12-25,2022-08-21,2023-04-17,NA,NA,NA,NA,NA,NA
2021-01-09,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,320681,320681,0,0.676,43.107,100,42705,0.09,15.363,42705,0,320681,0.676,15.363,100,320681,0,320681,0.676,0,0.799,0,42705,0,0.09,0,320681,0,0.676,0,0.799,0,15.363,15.363,NA,NA,0,0,0,NA,2021-11-08,2022-06-03,2022-12-27,NA,NA,NA,NA,NA,NA
2021-01-10,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,363386,363386,0,0.766,48.847,100,42705,0.09,13.317,42705,0,363386,0.766,13.317,100,363386,0,363386,0.766,0,0.906,0,42705,0,0.09,0,363386,0,0.766,0,0.906,0,13.317,13.317,NA,NA,0,0,0,NA,2021-10-04,2022-04-04,2022-10-04,NA,NA,NA,NA,NA,NA
2021-01-11,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,743925,0,0,743925,1.568,406091,406091,0,0.856,54.588,100,42705,0.09,11.752,42705,0,406091,0.856,11.752,100,406091,0,406091,0.856,0,1.012,0,42705,0,0.09,0,406091,0,0.856,0,1.012,0,11.752,11.752,NA,NA,0,0,0,NA,2021-09-06,2022-02-16,2022-07-30,NA,NA,NA,NA,NA,NA
2021-01-12,"ES",47450795,100,40129822,100,743925,0,0,0,743925,1.568,100,0,0,0,0,0,0,0,0,0,488041,488041,0,1.029,65.604,100,81950,0.173,20.18,81950,0,348702,0.735,-14.132,100,488041,0,488041,1.029,0,1.216,0,81950,0,0.173,0,348702,0,0.735,0,0.869,0,20.18,-14.132,NA,NA,0,0,0,NA,2021-10-14,2022-04-23,2022-10-30,NA,NA,NA,NA,NA,NA
2021-01-13,"ES",47450795,100,40129822,100,1103700,0,0,0,1103700,2.326,100,359775,0,0,359775,359775,0,0,359775,0.758,581638,581638,0,1.226,52.699,100,93597,0.197,19.178,93597,0,408307,0.86,17.093,100,581638,0,581638,1.226,0,1.449,0,93597,0,0.197,0,408307,0,0.86,0,1.017,0,19.178,17.093,NA,NA,0,0,0,NA,2021-09-04,2022-02-13,2022-07-26,NA,NA,NA,NA,NA,NA
2021-01-14,"ES",47450795,100,40129822,100,1103700,0,35700,0,1139400,2.401,100,0,0,35700,35700,359775,0,35700,395475,0.833,676186,676186,0,1.425,59.346,100,94548,0.199,16.255,94548,0,468863,0.988,14.831,100,676186,0,676186,1.425,0,1.685,0,94548,0,0.199,0,468863,0,0.988,0,1.168,0,16.255,14.831,NA,NA,0,0,0,NA,2021-08-04,2021-12-24,2022-05-14,NA,NA,NA,NA,NA,NA
2021-01-15,"ES",47450795,100,40129822,100,1103700,0,35700,0,1139400,2.401,100,0,0,0,0,359775,0,35700,395475,0.833,768950,768950,0,1.621,67.487,100,92764,0.195,13.719,92764,0,490974,1.035,4.716,100,768950,0,768950,1.621,0,1.916,0,92764,0,0.195,0,490974,0,1.035,0,1.223,0,13.719,4.716,NA,NA,0,0,0,NA,2021-07-25,2021-12-08,2022-04-22,NA,NA,NA,NA,NA,NA
2021-01-16,"ES",47450795,100,40129822,100,1105000,0,35700,0,1140700,2.404,100,1300,0,0,1300,361075,0,35700,396775,0.836,811947,810404,1543,1.711,71.18,100,42997,0.091,5.592,42225,772,491266,1.035,0.059,100,811176,772,810404,1.71,0.002,2.021,0.002,42226,772,0.089,0.002,490495,772,1.034,0.002,1.222,0.002,5.491,-0.098,Inf,Inf,0,0,0,0,2021-07-26,2021-12-08,2022-04-23,2308-07-04,2500-02-27,2691-10-24,2308-07-04,2500-02-27,2691-10-24
2021-01-17,"ES",47450795,100,40129822,100,1106300,0,35700,0,1142000,2.407,100,1300,0,0,1300,362375,0,35700,398075,0.839,854945,851858,3087,1.802,74.864,100,42998,0.091,5.296,42227,771,491559,1.036,0.06,100,853401,1543,851858,1.798,0.003,2.127,0.004,42225,771,0.089,0.002,490015,1543,1.033,0.003,1.221,0.004,5.205,-0.098,99.87,99.87,0,0,0,0,2021-07-27,2021-12-09,2022-04-24,2212-09-06,2340-06-13,2468-03-20,2164-10-07,2260-08-05,2356-06-03
2021-01-18,"ES",47450795,100,40129822,100,1107600,0,35700,0,1143300,2.409,100,1300,0,0,1300,363675,0,35700,399375,0.842,897942,893312,4630,1.892,78.539,100,42997,0.091,5.029,42225,772,491851,1.037,0.059,100,895627,2315,893312,1.887,0.005,2.232,0.006,42226,772,0.089,0.002,489536,2315,1.032,0.005,1.22,0.006,4.948,-0.098,50.032,50.032,0,0,0,0,2021-07-27,2021-12-10,2022-04-25,2136-01-09,2212-09-07,2289-05-06,2116-11-09,2180-09-27,2244-08-16
